Time [s];Position [°];Current [A];Voltage [V];;;;;;
0,141;190,195;0,000;0,004;;;;;;
0,142;190,195;0,000;0,004;;;;;;
0,143;190,195;0,000;0,000;;;;;;
0,144;190,195;0,000;0,000;;;;;;
0,145;190,195;0,000;0,004;;;;;;
0,146;190,195;0,000;0,004;;;;;;
0,147;190,195;0,000;0,000;;;;;;
0,148;190,195;0,000;0,000;;;;;;
0,149;190,195;0,000;0,000;;;;;;
0,15;190,195;0,000;0,000;;;;;;
0,151;190,195;0,000;-0,004;;;;;;
0,152;190,195;0,000;-0,004;;;;;;
0,153;190,195;0,000;0,000;;;;;;
0,154;190,195;0,000;0,000;;;;;;
0,155;190,195;0,000;0,000;;;;;;
0,156;190,195;0,000;0,000;;;;;;
0,157;190,195;0,000;0,000;;;;;;
0,158;190,195;0,000;0,000;;;;;;
0,159;190,283;0,000;0,004;;;;;;
0,16;190,283;0,000;0,004;;;;;;
0,161;190,283;0,000;-0,008;;;;;;
0,162;190,283;0,000;-0,008;;;;;;
0,163;190,283;0,000;0,000;;;;;;
0,164;190,283;0,000;0,000;;;;;;
0,165;190,283;0,000;0,004;;;;;;
0,166;190,283;0,000;0,004;;;;;;
0,167;190,283;0,000;0,000;;;;;;
0,168;190,283;0,000;0,000;;;;;;
0,169;190,283;0,000;0,000;;;;;;
0,17;190,283;0,000;0,000;;;;;;
0,171;190,283;0,000;0,004;;;;;;
0,172;190,283;0,000;0,004;;;;;;
0,173;190,283;0,000;0,000;;;;;;
0,174;190,283;0,000;0,000;;;;;;
0,175;190,283;0,000;0,004;;;;;;
0,176;190,283;0,000;0,004;;;;;;
0,177;190,195;0,000;0,004;;;;;;
0,178;190,195;0,000;0,004;;;;;;
0,179;190,283;0,000;0,008;;;;;;
0,18;190,283;0,000;0,008;;;;;;
0,181;190,195;0,000;-0,004;;;;;;
0,182;190,195;0,000;-0,004;;;;;;
0,183;190,195;0,000;0,000;;;;;;
0,184;190,195;0,000;0,000;;;;;;
0,185;190,283;0,000;0,000;;;;;;
0,186;190,283;0,000;0,000;;;;;;
0,187;190,195;0,000;0,000;;;;;;
0,188;190,195;0,000;0,000;;;;;;
0,189;190,283;0,000;0,000;;;;;;
0,19;190,283;0,000;0,000;;;;;;
0,191;190,283;0,000;0,004;;;;;;
0,192;190,283;0,000;0,004;;;;;;
0,193;190,283;0,000;0,000;;;;;;
0,194;190,283;0,000;0,000;;;;;;
0,195;190,195;0,000;0,000;;;;;;
0,196;190,195;0,000;0,000;;;;;;
0,197;190,195;0,000;0,004;;;;;;
0,198;190,195;0,000;0,004;;;;;;
0,199;190,195;0,000;0,004;;;;;;
0,2;190,195;0,000;0,004;;;;;;
0,201;190,195;0,000;-0,004;;;;;;
0,202;190,195;0,000;-0,004;;;;;;
0,203;190,195;0,000;-0,004;;;;;;
0,204;190,195;0,000;-0,004;;;;;;
0,205;190,195;0,000;-0,004;;;;;;
0,206;190,195;0,000;-0,004;;;;;;
0,207;190,195;0,000;0,000;;;;;;
0,208;190,195;0,000;0,000;;;;;;
0,209;190,195;0,000;0,000;;;;;;
0,21;190,195;0,000;0,000;;;;;;
0,211;190,283;0,000;-0,004;;;;;;
0,212;190,283;0,000;-0,004;;;;;;
0,213;190,283;0,000;-0,004;;;;;;
0,214;190,283;0,000;-0,004;;;;;;
0,215;190,283;0,000;0,004;;;;;;
0,216;190,283;0,000;0,004;;;;;;
0,217;190,283;0,000;0,000;;;;;;
0,218;190,283;0,000;0,000;;;;;;
0,219;190,283;0,000;0,000;;;;;;
0,22;190,283;0,000;0,000;;;;;;
0,221;190,283;0,000;-0,004;;;;;;
0,222;190,283;0,000;-0,004;;;;;;
0,223;190,283;0,000;0,000;;;;;;
