timestamp_Angle_DEG;Angle_DEG;Current_A;Voltage_V
1701901054143;330,99609375;0,077362060546875;-0,575999915599823
1701901054144;330,99609375;0,0750732421875;-0,5280000567436218
1701901054145;330,99609375;0,075439453125;-0,5120000243186951
1701901054146;330,99609375;0,0758514404296875;-0,3559999465942383
1701901054147;330,99609375;0,072052001953125;0,07599997520446777
1701901054148;330,99609375;0,0583648681640625;-1,5360000133514404
1701901054149;330,99609375;0,05694580078125;-1,5520000457763672
1701901054150;330,99609375;0,0577239990234375;-0,8600000143051147
1701901054151;330,99609375;0,0577239990234375;-0,871999979019165
1701901054152;330,99609375;0,05767822265625;-0,8799999952316284
1701901054153;330,99609375;0,0719146728515625;-0,871999979019165
1701901054154;330,99609375;0,1146240234375;-0,7639999985694885
1701901054155;330,99609375;0,0875701904296875;-1,0360000133514404
1701901054156;330,99609375;0,0787811279296875;-0,5239999890327454
1701901054157;330,99609375;0,07928466796875;-0,5239999890327454
1701901054158;330,99609375;0,0787811279296875;-0,515999972820282
1701901054159;330,99609375;0,0790557861328125;-0,484000027179718
1701901054160;330,99609375;0,088714599609375;-0,06400001049041748
1701901054161;330,99609375;0,0873870849609375;0,24000000953674316
1701901054162;330,99609375;0,060791015625;-0,8679999709129333
1701901054163;330,99609375;0,0607452392578125;-0,8679999709129333
1701901054164;330,99609375;0,061431884765625;-0,8799999952316284
1701901054165;330,99609375;0,06976318359375;-0,8840000033378601
1701901054166;330,99609375;0,100982666015625;-0,7360000014305115
1701901054167;330,99609375;0,100982666015625;-0,7360000014305115
1701901054168;330,99609375;0,099609375;-1,2640000581741333
1701901054169;330,99609375;0,08367919921875;-0,5679999589920044
1701901054170;330,99609375;0,0847320556640625;-0,5719999670982361
1701901054171;330,99609375;0,0847320556640625;-0,543999969959259
1701901054172;330,99609375;0,10675048828125;-0,5759999752044678
1701901054173;330,99609375;0,113616943359375;-0,2120000123977661
1701901054175;330,99609375;0,06427001953125;-0,8840000033378601
1701901054176;330,99609375;0,06427001953125;-0,8840000033378601
1701901054177;330,99609375;0,06463623046875;-0,8840000033378601
1701901054177;330,99609375;0,063720703125;-0,8840000033378601
1701901054178;330,99609375;0,0487060546875;-0,8840000033378601
1701901054179;330,99609375;0,083038330078125;-0,7960000038146973
